,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Height,Lg,MP,ORB,PF,PTS,Player,Pos,STL,Season,TOV,TRB,Tm,eFG%,href
0,11.4,.518,22.1,None,None,None,4.1,22,None,None,11.4,.518,22.1,5.9,.653,9.1,82,None,7-2,NBA,43.1,None,3.5,28.8,Kareem Abdul-Jabbar,C,None,None,None,14.5,MIL,.518,/players/a/abdulka01.html
1,13.0,.577,22.5,None,None,None,3.3,23,None,None,13.0,.577,22.5,5.7,.690,8.3,82,None,7-2,NBA,40.1,None,3.2,31.7,Kareem Abdul-Jabbar,C,None,None,None,16.0,MIL,.577,/players/a/abdulka01.html
2,14.3,.574,24.9,None,None,None,4.6,24,None,None,14.3,.574,24.9,6.2,.689,9.0,81,None,7-2,NBA,44.2,None,2.9,34.8,Kareem Abdul-Jabbar,C,None,None,None,16.6,MIL,.574,/players/a/abdulka01.html
3,12.9,.554,23.3,None,None,None,5.0,25,None,None,12.9,.554,23.3,4.3,.713,6.1,76,None,7-2,NBA,42.8,None,2.7,30.2,Kareem Abdul-Jabbar,C,None,None,None,16.1,MIL,.554,/players/a/abdulka01.html
4,11.7,.539,21.7,None,None,None,4.8,26,3.5,11.0,11.7,.539,21.7,3.6,.702,5.2,81,None,7-2,NBA,43.8,3.5,2.9,27.0,Kareem Abdul-Jabbar,C,1.4,None,None,14.5,MIL,.539,/players/a/abdulka01.html
5,12.5,.513,24.4,None,None,None,4.1,27,3.3,11.0,12.5,.513,24.4,5.0,.763,6.6,65,None,7-2,NBA,42.3,3.0,3.2,30.0,Kareem Abdul-Jabbar,C,1.0,None,None,14.0,MIL,.513,/players/a/abdulka01.html
6,11.1,.529,21.1,None,None,None,5.0,28,4.1,13.5,11.1,.529,21.1,5.5,.703,7.8,82,None,7-2,NBA,41.2,3.3,3.6,27.7,Kareem Abdul-Jabbar,C,1.5,None,None,16.9,LAL,.529,/players/a/abdulka01.html
7,10.8,.579,18.7,None,None,None,3.9,29,3.2,10.0,10.8,.579,18.7,4.6,.701,6.5,82,None,7-2,NBA,36.8,3.2,3.2,26.2,Kareem Abdul-Jabbar,C,1.2,None,None,13.3,LAL,.579,/players/a/abdulka01.html
8,10.7,.550,19.4,None,None,None,4.3,30,3.0,9.9,10.7,.550,19.4,4.4,.783,5.6,62,None,7-2,NBA,36.5,3.0,2.9,25.8,Kareem Abdul-Jabbar,C,1.7,1977-78,3.4,12.9,LAL,.550,/players/a/abdulka01.html
9,9.7,.577,16.8,None,None,None,5.4,31,4.0,10.2,9.7,.577,16.8,4.4,.736,5.9,80,None,7-2,NBA,39.5,2.6,2.9,23.8,Kareem Abdul-Jabbar,C,1.0,None,3.5,12.8,LAL,.577,/players/a/abdulka01.html
10,10.2,.604,16.9,0.0,.000,0.0,4.5,32,3.4,8.5,10.2,.604,16.9,4.4,.765,5.8,82,None,7-2,NBA,38.3,2.3,2.6,24.8,Kareem Abdul-Jabbar,C,1.0,None,3.6,10.8,LAL,.604,/players/a/abdulka01.html
11,10.5,.574,18.2,0.0,.000,0.0,3.4,33,2.9,7.8,10.5,.574,18.2,5.3,.766,6.9,80,None,7-2,NBA,37.2,2.5,3.1,26.2,Kareem Abdul-Jabbar,C,0.7,None,3.1,10.3,LAL,.574,/players/a/abdulka01.html
12,9.9,.580,17.1,0.0,.000,0.0,3.0,34,2.7,6.4,9.9,.579,17.1,4.1,.706,5.8,76,76,7-2,NBA,35.2,2.3,2.9,23.9,Kareem Abdul-Jabbar,C,0.8,None,3.0,8.7,LAL,.579,/players/a/abdulka01.html
13,9.1,.589,15.5,0.0,.000,0.0,2.5,35,2.2,5.4,9.1,.588,15.5,3.5,.749,4.7,79,79,7-2,NBA,32.3,2.1,2.8,21.8,Kareem Abdul-Jabbar,C,0.8,None,2.5,7.5,LAL,.588,/players/a/abdulka01.html
14,9.0,.579,15.5,0.0,.000,0.0,2.6,36,1.8,5.2,9.0,.578,15.5,3.6,.723,4.9,80,80,7-2,NBA,32.8,2.1,2.6,21.5,Kareem Abdul-Jabbar,C,0.7,None,2.8,7.3,LAL,.578,/players/a/abdulka01.html
15,9.2,.600,15.3,0.0,.000,0.0,3.2,37,2.1,5.8,9.2,.599,15.3,3.7,.732,5.0,79,79,7-2,NBA,33.3,2.1,3.0,22.0,Kareem Abdul-Jabbar,C,0.8,None,2.5,7.9,LAL,.599,/players/a/abdulka01.html
16,9.6,.565,16.9,0.0,.000,0.0,3.5,38,1.6,4.4,9.6,.564,16.9,4.3,.765,5.6,79,79,7-2,NBA,33.3,1.7,3.1,23.4,Kareem Abdul-Jabbar,C,0.8,None,2.6,6.1,LAL,.564,/players/a/abdulka01.html
17,7.2,.565,12.7,0.0,.333,0.0,2.6,39,1.2,4.8,7.2,.564,12.7,3.1,.714,4.4,78,78,7-2,NBA,31.3,1.9,3.1,17.5,Kareem Abdul-Jabbar,C,0.6,None,2.4,6.7,LAL,.564,/players/a/abdulka01.html
18,6.0,.532,11.3,0.0,.000,0.0,1.7,40,1.2,4.5,6.0,.532,11.3,2.6,.762,3.4,80,80,7-2,NBA,28.9,1.5,2.7,14.6,Kareem Abdul-Jabbar,C,0.6,None,2.0,6.0,LAL,.532,/players/a/abdulka01.html
19,4.2,.477,8.9,0.0,.000,0.0,1.0,41,1.1,3.1,4.2,.475,8.9,1.6,.739,2.2,74,74,7-2,NBA,22.9,1.4,2.6,10.1,Kareem Abdul-Jabbar,C,0.5,None,1.3,4.5,LAL,.475,/players/a/abdulka01.html
20,10.1,.526,19.2,0.1,.173,0.6,5.9,21,0.8,4.5,10.2,.515,19.8,7.7,.845,9.1,82,82,6-6,NBA,38.3,2.0,3.5,28.2,Michael Jordan,SG,2.4,None,3.5,6.5,CHI,.518,/players/j/jordami01.html
21,8.2,.474,17.2,0.2,.167,1.0,2.9,22,1.2,2.3,8.3,.457,18.2,5.8,.840,6.9,18,7,6-6,NBA,25.1,1.3,2.6,22.7,Michael Jordan,SG,2.1,None,2.5,3.6,CHI,.462,/players/j/jordami01.html
22,13.2,.491,27.0,0.1,.182,0.8,4.6,23,1.5,3.2,13.4,.482,27.8,10.2,.857,11.9,82,82,6-6,NBA,40.0,2.0,2.9,37.1,Michael Jordan,SG,2.9,None,3.3,5.2,CHI,.484,/players/j/jordami01.html
23,13.0,.546,23.7,0.1,.132,0.6,5.9,24,1.6,3.8,13.0,.535,24.4,8.8,.841,10.5,82,82,6-6,NBA,40.4,1.7,3.3,35.0,Michael Jordan,SG,3.2,None,3.1,5.5,CHI,.537,/players/j/jordami01.html
24,11.6,.553,21.0,0.3,.276,1.2,8.0,25,0.8,6.2,11.9,.538,22.2,8.3,.850,9.8,81,81,6-6,NBA,40.2,1.8,3.0,32.5,Michael Jordan,SG,2.9,None,3.6,8.0,CHI,.546,/players/j/jordami01.html
25,11.5,.548,21.0,1.1,.376,3.0,6.3,26,0.7,5.1,12.6,.526,24.0,7.2,.848,8.5,82,82,6-6,NBA,39.0,1.7,2.9,33.6,Michael Jordan,SG,2.8,None,3.0,6.9,CHI,.550,/players/j/jordami01.html
26,11.7,.551,21.3,0.4,.312,1.1,5.5,27,1.0,4.6,12.1,.539,22.4,7.0,.851,8.2,82,82,6-6,NBA,37.0,1.4,2.8,31.5,Michael Jordan,SG,2.7,None,2.5,6.0,CHI,.547,/players/j/jordami01.html
27,11.5,.533,21.5,0.3,.270,1.3,6.1,28,0.9,5.3,11.8,.519,22.7,6.1,.832,7.4,80,80,6-6,NBA,38.8,1.1,2.5,30.1,Michael Jordan,SG,2.3,None,2.5,6.4,CHI,.526,/players/j/jordami01.html
28,11.7,.514,22.7,1.0,.352,2.9,5.5,29,0.8,5.0,12.7,.495,25.7,6.1,.837,7.3,78,78,6-6,NBA,39.3,1.7,2.4,32.6,Michael Jordan,SG,2.8,None,2.7,6.7,CHI,.515,/players/j/jordami01.html
29,0.9,.500,1.9,9.8,.411,23.8,1.5,30,6.9,8.0,17,39.3,17,21.9,.431,.403,CHI,NBA,6-6,1994-95,SG,6.4,1.8,0.8,Michael Jordan,31,5.4,1993-94,5.3,.801,None,8.8,/players/j/jordami01.html
30,1.4,.427,3.2,11.2,.495,22.6,1.8,2.8,6.6,8.0,82,37.7,82,19.4,.525,.506,CHI,NBA,6-6,None,SG,6.7,2.2,0.5,Michael Jordan,32,4.8,2.1,4.3,.834,26.9,9.8,/players/j/jordami01.html
31,1.4,.374,3.6,11.2,.486,23.1,1.4,2.4,5.9,7.0,82,37.9,82,19.5,.516,.507,CHI,NBA,6-6,None,SG,5.9,1.7,0.5,Michael Jordan,33,4.5,2.4,4.3,.833,30.4,9.9,/players/j/jordami01.html
32,0.4,.238,1.5,10.7,.465,23.1,1.6,1.9,5.8,8.8,82,38.8,82,21.5,.473,.482,CHI,NBA,6-6,None,SG,6.9,1.7,0.5,Michael Jordan,34,4.2,2.0,3.5,.784,29.6,10.4,/players/j/jordami01.html
33,WAS,SF,NBA,Did Not Play (retired),38,None,0.9,1.8,9.0,.416,Did Not Play (retired),37,2000-01,53,9.2,34.9,Did Not Play (retired),1999-00,6-6,1998-99,36,22.1,.426,.420,Michael Jordan,35,.189,2.3,21.2,0.2,28.7,60,/players/j/jordami01.html
34,WAS,SF,NBA,22.9,39,None,0.7,5.6,8.1,.445,0.4,2.0,2.7,67,8.3,37.0,5.7,5.2,6-6,0.8,1.4,18.6,.450,.450,Michael Jordan,4.8,.291,4.4,18.0,0.2,.790,82,/players/j/jordami01.html
35,None,None,NBA,20.0,None,Career,1.7,4.0,10.8,.497,0.5,2.1,2.1,1039,11.4,38.3,6.1,3.8,6-6,0.9,1.5,22.9,.510,.509,Michael Jordan,5.2,.327,3.2,21.2,0.5,.821,1072,/players/j/jordami01.html
36,None,None,None,30.1,None,None,None,8.2,None,None,0.8,2.6,2.7,None,None,None,6.2,5.3,6-6,1.6,2.3,None,None,None,Michael Jordan,4.7,None,6.8,None,None,.835,None,/players/j/jordami01.html
37,,,,,,,1.8,22,,,5.8,.427,13.5,3.2,.492,6.4,48,None,6-10,NBA,35.3,,3.0,14.7,Bill Russell,C,,1956-57,,19.6,BOS,,/players/r/russebi01.html
38,,,,,,,2.9,23,,,6.6,.442,15.0,3.3,.519,6.4,69,None,6-10,NBA,38.3,,2.6,16.6,Bill Russell,C,,None,,22.7,BOS,,/players/r/russebi01.html
39,,,,,,,3.2,24,,,6.5,.457,14.2,3.7,.598,6.1,70,None,6-10,NBA,42.6,,2.3,16.7,Bill Russell,C,,None,,23.0,BOS,,/players/r/russebi01.html
40,,,,,,,3.7,25,,,7.5,.467,16.1,3.2,.612,5.3,74,None,6-10,NBA,42.5,,2.8,18.2,Bill Russell,C,,None,,24.0,BOS,,/players/r/russebi01.html
41,,,,,,,3.4,26,,,6.8,.426,16.0,3.3,.550,6.0,78,None,6-10,NBA,44.3,,2.0,16.9,Bill Russell,C,,None,,23.9,BOS,,/players/r/russebi01.html
42,,,,,,,4.5,27,,,7.6,.457,16.6,3.8,.595,6.3,76,None,6-10,NBA,45.2,,2.7,18.9,Bill Russell,C,,None,,23.6,BOS,,/players/r/russebi01.html
43,,,,,,,4.5,28,,,6.6,.432,15.2,3.7,.555,6.6,78,None,6-10,NBA,44.9,,2.4,16.8,Bill Russell,C,,None,,23.6,BOS,,/players/r/russebi01.html
44,,,,,,,4.7,29,,,6.0,.433,13.8,3.0,.550,5.5,78,None,6-10,NBA,44.6,,2.4,15.0,Bill Russell,C,,None,,24.7,BOS,,/players/r/russebi01.html
45,,,,,,,5.3,30,,,5.5,.438,12.6,3.1,.573,5.5,78,None,6-10,NBA,44.4,,2.6,14.1,Bill Russell,C,,None,,24.1,BOS,,/players/r/russebi01.html
46,,,,,,,4.8,31,,,5.0,.415,12.1,2.9,.551,5.2,78,None,6-10,NBA,43.4,,2.8,12.9,Bill Russell,C,,None,,22.8,BOS,,/players/r/russebi01.html
47,,,,,,,5.8,32,,,4.9,.454,10.7,3.5,.610,5.8,81,None,6-10,NBA,40.7,,3.2,13.3,Bill Russell,C,,None,,21.0,BOS,,/players/r/russebi01.html
48,,,,,,,4.6,33,,,4.7,.425,11.0,3.2,.537,5.9,78,None,6-10,NBA,37.9,,3.1,12.5,Bill Russell,C,,None,,18.6,BOS,,/players/r/russebi01.html
49,,,,,,,4.9,34,,,3.6,.433,8.4,2.6,.526,5.0,77,None,6-10,NBA,42.7,,3.0,9.9,Bill Russell,C,,None,,19.3,BOS,,/players/r/russebi01.html
50,1.8,.437,4.0,0.7,.375,1.9,1.3,18,0.3,1.2,2.5,.417,5.9,1.9,.819,2.3,71,6,6-6,NBA,15.5,0.7,1.4,7.6,Kobe Bryant,SG,0.7,1996-97,1.6,1.9,LAL,.477,/players/b/bryanko01.html
51,4.0,.456,8.8,0.9,.341,2.8,2.5,19,0.5,2.1,4.9,.428,11.6,4.6,.794,5.8,79,1,6-6,NBA,26.0,1.0,2.3,15.4,Kobe Bryant,SG,0.9,None,2.0,3.1,LAL,.469,/players/b/bryanko01.html
52,6.7,.494,13.6,0.5,.267,2.0,3.8,20,1.0,4.2,7.2,.465,15.6,4.9,.839,5.8,50,50,6-6,NBA,37.9,1.1,3.1,19.9,Kobe Bryant,SG,1.4,1998-99,3.1,5.3,LAL,.482,/players/b/bryanko01.html
53,7.7,.489,15.7,0.7,.319,2.2,4.9,21,0.9,4.7,8.4,.468,17.9,5.0,.821,6.1,66,62,6-6,NBA,38.2,1.6,3.3,22.5,Kobe Bryant,SG,1.6,None,2.8,6.3,LAL,.488,/players/b/bryanko01.html
54,9.4,.489,19.3,0.9,.305,2.9,5.0,22,0.6,4.3,10.3,.464,22.2,7.0,.853,8.2,68,68,6-6,NBA,40.9,1.5,3.3,28.5,Kobe Bryant,SG,1.7,None,3.2,5.9,LAL,.484,/players/b/bryanko01.html
55,9.0,.489,18.3,0.4,.250,1.7,5.5,23,0.4,4.1,9.4,.469,20.0,6.1,.829,7.4,80,80,6-6,NBA,38.3,1.4,2.9,25.2,Kobe Bryant,SG,1.5,None,2.8,5.5,LAL,.479,/players/b/bryanko01.html
56,9.1,.465,19.5,1.5,.383,4.0,5.9,24,0.8,5.6,10.6,.451,23.5,7.3,.843,8.7,82,82,6-6,NBA,41.5,1.3,2.7,30.0,Kobe Bryant,SG,2.2,None,3.5,6.9,LAL,.483,/players/b/bryanko01.html
57,6.8,.463,14.8,1.1,.327,3.3,5.1,25,0.4,3.9,7.9,.438,18.1,7.0,.852,8.2,65,64,6-6,NBA,37.6,1.6,2.7,24.0,Kobe Bryant,SG,1.7,None,2.6,5.5,LAL,.468,/players/b/bryanko01.html
58,6.7,.472,14.2,2.0,.339,5.9,6.0,26,0.8,4.5,8.7,.433,20.1,8.2,.816,10.1,66,66,6-6,NBA,40.7,1.4,2.6,27.6,Kobe Bryant,SG,1.3,None,4.1,5.9,LAL,.482,/players/b/bryanko01.html
59,10.0,.482,20.7,2.3,.347,6.5,4.5,27,0.4,4.4,12.2,.450,27.2,8.7,.850,10.2,80,80,6-6,NBA,41.0,0.9,2.9,35.4,Kobe Bryant,SG,1.8,None,3.1,5.3,LAL,.491,/players/b/bryanko01.html
60,8.8,.497,17.6,1.8,.344,5.2,5.4,28,0.5,4.7,10.6,.463,22.8,8.7,.868,10.0,77,77,6-6,NBA,40.8,1.0,2.7,31.6,Kobe Bryant,SG,1.4,None,3.3,5.7,LAL,.502,/players/b/bryanko01.html
61,7.6,.490,15.5,1.8,.361,5.1,5.4,29,0.5,5.2,9.5,.459,20.6,7.6,.840,9.0,82,82,6-6,NBA,38.9,1.1,2.8,28.3,Kobe Bryant,SG,1.8,None,3.1,6.3,LAL,.503,/players/b/bryanko01.html
62,8.3,.496,16.8,1.4,.351,4.1,4.9,30,0.5,4.1,9.8,.467,20.9,5.9,.856,6.9,82,82,6-6,NBA,36.1,1.1,2.3,26.8,Kobe Bryant,SG,1.5,None,2.6,5.2,LAL,.502,/players/b/bryanko01.html
63,8.5,.487,17.4,1.4,.329,4.1,5.0,31,0.3,4.3,9.8,.456,21.5,6.0,.811,7.4,73,73,6-6,NBA,38.8,1.1,2.6,27.0,Kobe Bryant,SG,1.5,None,3.2,5.4,LAL,.488,/players/b/bryanko01.html
64,7.6,.487,15.6,1.4,.323,4.3,4.7,32,0.1,4.1,9.0,.451,20.0,5.9,.828,7.1,82,82,6-6,NBA,33.9,1.0,2.1,25.3,Kobe Bryant,SG,1.2,None,3.0,5.1,LAL,.487,/players/b/bryanko01.html
65,8.4,.464,18.1,1.5,.303,4.9,4.6,33,0.3,4.3,9.9,.430,23.0,6.6,.845,7.8,58,58,6-6,NBA,38.5,1.1,1.8,27.9,Kobe Bryant,SG,1.2,None,3.5,5.4,LAL,.462,/players/b/bryanko01.html
66,7.8,.510,15.2,1.7,.324,5.2,6.0,34,0.3,4.7,9.5,.463,20.4,6.7,.839,8.0,78,78,6-6,NBA,38.6,0.8,2.2,27.3,Kobe Bryant,SG,1.4,None,3.7,5.6,LAL,.504,/players/b/bryanko01.html
67,4.7,.491,9.5,0.5,.188,2.7,6.3,35,0.2,4.0,5.2,.425,12.2,3.0,.857,3.5,6,6,6-6,NBA,29.5,0.3,1.5,13.8,Kobe Bryant,SG,1.2,None,5.7,4.3,LAL,.445,/players/b/bryanko01.html
68,6.1,.401,15.1,1.5,.293,5.3,5.6,36,0.2,4.9,7.6,.373,20.4,5.6,.813,6.9,35,35,6-6,NBA,34.5,0.7,1.9,22.3,Kobe Bryant,SG,1.3,None,3.7,5.7,LAL,.411,/players/b/bryanko01.html
69,4.0,.410,9.8,2.0,.285,7.1,2.8,37,0.2,3.1,6.0,.358,16.9,3.5,.826,4.3,66,66,6-6,NBA,28.2,0.6,1.7,17.6,Kobe Bryant,SF,0.9,None,2.0,3.7,LAL,.417,/players/b/bryanko01.html
70,,,,,,,2.3,23,,,14.8,.461,32.1,8.0,.582,13.8,72,None,7-1,NBA,46.4,,2.1,37.6,Wilt Chamberlain,C,,None,,27.0,PHW,,/players/c/chambwi01.html
71,,,,,,,1.9,24,,,15.8,.509,31.1,6.7,.504,13.3,79,None,7-1,NBA,47.8,,1.6,38.4,Wilt Chamberlain,C,,None,,27.2,PHW,,/players/c/chambwi01.html
72,,,,,,,2.4,25,,,20.0,.506,39.5,10.4,.613,17.0,80,None,7-1,NBA,48.5,,1.5,50.4,Wilt Chamberlain,C,,None,,25.7,PHW,,/players/c/chambwi01.html
73,,,,,,,3.4,26,,,18.3,.528,34.6,8.3,.593,13.9,80,None,7-1,NBA,47.6,,1.7,44.8,Wilt Chamberlain,C,,None,,24.3,SFW,,/players/c/chambwi01.html
74,,,,,,,5.0,27,,,15.1,.524,28.7,6.8,.531,12.7,80,None,7-1,NBA,46.1,,2.3,36.9,Wilt Chamberlain,C,,None,,22.3,SFW,,/players/c/chambwi01.html
75,,,,,,,3.4,28,,,14.6,.510,28.5,5.6,.464,12.1,73,None,7-1,NBA,45.2,,2.0,34.7,Wilt Chamberlain,C,,None,,22.9,TOT,,/players/c/chambwi01.html
76,,,,,,,3.1,28,,,16.7,.499,33.6,5.5,.416,13.2,38,None,7-1,NBA,45.9,,2.0,38.9,Wilt Chamberlain,C,,None,,23.5,SFW,,/players/c/chambwi01.html
77,,,,,,,3.8,28,,,12.2,.528,23.1,5.7,.526,10.9,35,None,7-1,NBA,44.5,,2.0,30.1,Wilt Chamberlain,C,,None,,22.3,PHI,,/players/c/chambwi01.html
78,,,,,,,5.2,29,,,13.6,.540,25.2,6.3,.513,12.4,79,None,7-1,NBA,47.3,,2.2,33.5,Wilt Chamberlain,C,,None,,24.6,PHI,,/players/c/chambwi01.html
79,,,,,,,7.8,30,,,9.7,.683,14.2,4.8,.441,10.8,81,None,7-1,NBA,45.5,,1.8,24.1,Wilt Chamberlain,C,,None,,24.2,PHI,,/players/c/chambwi01.html
80,,,,,,,8.6,31,,,10.0,.595,16.8,4.3,.380,11.4,82,None,7-1,NBA,46.8,,2.0,24.3,Wilt Chamberlain,C,,None,,23.8,PHI,,/players/c/chambwi01.html
81,,,,,,,4.5,32,,,7.9,.583,13.6,4.7,.446,10.6,81,None,7-1,NBA,45.3,,1.8,20.5,Wilt Chamberlain,C,,None,,21.1,LAL,,/players/c/chambwi01.html
82,,,,,,,4.1,33,,,10.8,.568,18.9,5.8,.446,13.1,12,None,7-1,NBA,42.1,,2.6,27.3,Wilt Chamberlain,C,,1969-70,,18.4,LAL,,/players/c/chambwi01.html
83,,,,,,,4.3,34,,,8.1,.545,15.0,4.4,.538,8.2,82,None,7-1,NBA,44.3,,2.1,20.7,Wilt Chamberlain,C,,None,,18.2,LAL,,/players/c/chambwi01.html
84,,,,,,,4.0,35,,,6.0,.649,9.3,2.7,.422,6.4,82,None,7-1,NBA,42.3,,2.4,14.8,Wilt Chamberlain,C,,None,,19.2,LAL,,/players/c/chambwi01.html
85,,,,,,,4.5,36,,,5.2,.727,7.1,2.8,.510,5.5,82,None,7-1,NBA,43.2,,2.3,13.2,Wilt Chamberlain,C,,None,,18.6,LAL,,/players/c/chambwi01.html
86,7.1,.438,16.1,0.8,.290,2.7,5.9,19,0.7,4.2,7.9,.417,18.9,4.4,.754,5.8,79,79,6-8,NBA,39.5,1.3,1.9,20.9,LeBron James,SG,1.6,2003-04,3.5,5.5,CLE,.438,/players/j/jamesle01.html
87,8.6,.499,17.2,1.4,.351,3.9,7.2,20,0.7,6.0,9.9,.472,21.1,6.0,.750,8.0,80,80,6-8,NBA,42.4,1.4,1.8,27.2,LeBron James,SF,2.2,None,3.3,7.4,CLE,.504,/players/j/jamesle01.html
88,9.5,.518,18.3,1.6,.335,4.8,6.6,21,0.8,6.1,11.1,.480,23.1,7.6,.738,10.3,79,79,6-8,NBA,42.5,0.9,2.3,31.4,LeBron James,SF,1.6,None,3.3,7.0,CLE,.515,/players/j/jamesle01.html
89,8.6,.513,16.8,1.3,.319,4.0,6.0,22,0.7,5.7,9.9,.476,20.8,6.3,.698,9.0,78,78,6-8,NBA,40.9,1.1,2.2,27.3,LeBron James,SF,1.6,None,3.2,6.7,CLE,.507,/players/j/jamesle01.html
90,9.1,.531,17.1,1.5,.315,4.8,7.2,23,1.1,6.1,10.6,.484,21.9,7.3,.712,10.3,75,74,6-8,NBA,40.4,1.8,2.2,30.0,LeBron James,SF,1.8,None,3.4,7.9,CLE,.518,/players/j/jamesle01.html
91,8.1,.535,15.2,1.6,.344,4.7,7.2,24,1.1,6.3,9.7,.489,19.9,7.3,.780,9.4,81,81,6-8,NBA,37.7,1.3,1.7,28.4,LeBron James,SF,1.7,None,3.0,7.6,CLE,.530,/players/j/jamesle01.html
92,8.4,.560,15.0,1.7,.333,5.1,8.6,25,1.0,6.4,10.1,.503,20.1,7.8,.767,10.2,76,76,6-8,NBA,39.0,0.9,1.6,29.7,LeBron James,SF,1.6,None,3.4,7.3,CLE,.545,/players/j/jamesle01.html
93,8.4,.552,15.3,1.2,.330,3.5,7.0,26,0.6,6.5,9.6,.510,18.8,6.4,.759,8.4,79,79,6-8,NBA,38.8,1.0,2.1,26.7,LeBron James,SF,1.6,None,3.6,7.5,MIA,.541,/players/j/jamesle01.html
94,9.1,.556,16.5,0.9,.362,2.4,6.2,27,0.8,6.4,10.0,.531,18.9,6.2,.771,8.1,62,62,6-8,NBA,37.5,1.5,1.5,27.1,LeBron James,SF,1.9,None,3.4,7.9,MIA,.554,/players/j/jamesle01.html
95,8.7,.602,14.5,1.4,.406,3.3,7.3,28,0.9,6.8,10.1,.565,17.8,5.3,.753,7.0,76,76,6-8,NBA,37.9,1.3,1.4,26.8,LeBron James,PF,1.7,None,3.0,8.0,MIA,.603,/players/j/jamesle01.html
96,8.5,.622,13.6,1.5,.379,4.0,6.3,29,0.3,5.9,10.0,.567,17.6,5.7,.750,7.6,77,77,6-8,NBA,37.7,1.1,1.6,27.1,LeBron James,PF,1.6,None,3.5,6.9,MIA,.610,/players/j/jamesle01.html
97,7.3,.536,13.6,1.7,.354,4.9,7.4,30,0.7,5.3,9.0,.488,18.5,5.4,.710,7.7,69,69,6-8,NBA,36.1,0.7,2.0,25.3,LeBron James,SF,1.6,None,3.9,6.0,CLE,.535,/players/j/jamesle01.html
98,8.6,.573,14.9,1.1,.309,3.7,6.8,31,0.6,6.0,9.7,.520,18.6,4.7,.731,6.5,76,76,6-8,NBA,35.6,1.5,1.9,25.3,LeBron James,SF,1.4,None,3.3,7.4,CLE,.551,/players/j/jamesle01.html
99,8.3,.611,13.5,1.7,.363,4.6,8.7,32,0.6,7.3,9.9,.548,18.2,4.8,.674,7.2,74,74,6-8,NBA,37.8,1.3,1.8,26.4,LeBron James,SF,1.2,None,4.1,8.6,CLE,.594,/players/j/jamesle01.html
100,8.6,.603,14.3,1.8,.367,5.0,9.1,33,0.9,7.5,10.5,.542,19.3,4.7,.731,6.5,82,82,6-8,NBA,36.9,1.2,1.7,27.5,LeBron James,PF,1.4,None,4.2,8.6,CLE,.590,/players/j/jamesle01.html
101,8.1,.582,14.0,2.0,.339,5.9,8.3,34,0.6,7.4,10.1,.510,19.9,5.1,.665,7.6,55,55,6-8,NBA,35.2,1.0,1.7,27.4,LeBron James,SF,1.3,None,3.6,8.5,LAL,.560,/players/j/jamesle01.html
102,8.6,.553,15.6,0.0,.000,0.1,2.7,21,2.5,8.6,8.6,.549,15.7,3.9,.662,5.9,82,82,6-11,NBA,39.1,3.3,3.1,21.1,Tim Duncan,PF,0.7,None,3.4,11.9,SAS,.549,/players/d/duncati01.html
103,8.3,.498,16.8,0.0,.143,0.1,2.4,22,2.5,8.2,8.4,.495,16.9,4.9,.690,7.2,50,50,6-11,NBA,39.3,3.2,2.9,21.7,Tim Duncan,PF,0.9,1998-99,2.9,11.4,SAS,.495,/players/d/duncati01.html
104,8.5,.494,17.2,0.0,.091,0.1,3.2,23,2.2,8.9,8.5,.490,17.3,6.2,.761,8.1,74,74,6-11,NBA,38.9,3.5,2.8,23.2,Tim Duncan,PF,0.9,None,3.3,12.4,SAS,.491,/players/d/duncati01.html
105,8.5,.504,16.8,0.1,.259,0.3,3.0,24,2.3,9.0,8.6,.499,17.1,5.0,.618,8.1,82,82,6-11,NBA,38.7,3.2,3.0,22.2,Tim Duncan,PF,0.9,None,3.0,12.2,SAS,.502,/players/d/duncati01.html
106,9.3,.511,18.2,0.0,.100,0.1,3.7,25,2.5,9.4,9.3,.508,18.3,6.8,.799,8.5,82,82,6-11,NBA,40.6,3.3,2.6,25.5,Tim Duncan,PF,0.7,None,3.2,12.7,SAS,.508,/players/d/duncati01.html
107,8.7,.517,16.9,0.1,.273,0.3,3.9,26,2.9,9.7,8.8,.513,17.2,5.6,.710,7.8,81,81,6-11,NBA,39.3,3.2,2.9,23.3,Tim Duncan,PF,0.7,None,3.1,12.9,SAS,.515,/players/d/duncati01.html
108,8.6,.505,16.9,0.0,.167,0.2,3.1,27,2.7,9.2,8.6,.501,17.1,5.1,.599,8.5,69,68,6-11,NBA,36.6,3.3,2.4,22.3,Tim Duncan,PF,0.9,None,2.7,12.4,SAS,.502,/players/d/duncati01.html
109,7.8,.498,15.7,0.0,.333,0.1,2.7,28,2.6,8.0,7.8,.496,15.8,4.6,.670,6.9,66,66,6-11,NBA,33.4,3.1,2.2,20.3,Tim Duncan,PF,0.7,None,1.9,11.1,SAS,.498,/players/d/duncati01.html
110,7.2,.485,14.8,0.0,.400,0.1,3.2,29,2.0,8.1,7.2,.484,14.8,4.2,.629,6.7,80,80,6-11,NBA,34.8,2.9,2.7,18.6,Tim Duncan,PF,0.9,None,2.5,11.0,SAS,.485,/players/d/duncati01.html
